termo_de_busca,titulo_produto,preco,link
cartucho compatível hp,Cartucho Hp 954xl Amarelo L0s68ab 20ml,249.90,https://www.mercadolivre.com.br/cartucho-hp-954xl-amarelo-l0s68ab-20ml/p/MLB36750339\#polycard_client=search-nordic&searchVariation=MLB36750339&wid=MLB3776108935&position=16&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho de tinta HP 664xl Tricolor 8ml,197,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664xl-tricolor-8ml/p/MLB36751101\#polycard_client=search-nordic&searchVariation=MLB36751101&wid=MLB3695549545&position=22&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho De Tinta Compatível Hp 21 27 56xl Preto19 Ml,77.99,https://www.mercadolivre.com.br/cartucho-de-tinta-compativel-hp-21-27-56xl-preto19-ml/p/MLB38613606\#polycard_client=search-nordic&searchVariation=MLB38613606&wid=MLB5127783676&position=12&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho Compativel 21 / 27 / 56 Black 1310 1315 1410 1210,76.90,https://produto.mercadolivre.com.br/MLB-3810930012-cartucho-compativel-21-27-56-black-1310-1315-1410-1210-_JM?searchVariation=179066582163\#polycard_client=search-nordic&searchVariation=179066582163&position=41&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3
cartucho compatível hp,Kit Cartuchos Hp 46 2 Pretos +1 Colorido Original Triplo,289.90,https://produto.mercadolivre.com.br/MLB-3229062733-kit-cartuchos-hp-46-2-pretos-1-colorido-original-triplo-_JM\#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB3229062733&sid=search
cartucho compatível hp,Cartuchos 60xl + 60c D110 4680 F4480,188.90,https://www.mercadolivre.com.br/cartuchos-60xl-60c-d110-4680-f4480/p/MLB22638343\#polycard_client=search-nordic&searchVariation=MLB22638343&wid=MLB5290088866&position=32&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho De Tinta Hp 664xl Preto F6v31ab,139.36,https://produto.mercadolivre.com.br/MLB-5301830642-cartucho-de-tinta-hp-664xl-preto-f6v31ab-_JM\#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB5301830642&sid=search
cartucho compatível hp,Kit 2 Cartuchos Bk P/ Hp 670xl Advantage 3525 4615 4625 5525,43.81,https://produto.mercadolivre.com.br/MLB-2897300319-kit-2-cartuchos-bk-p-hp-670xl-advantage-3525-4615-4625-5525-_JM\#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB2897300319&sid=search
cartucho compatível hp,Cartucho Compatível Com Hp Photosmart C4480 C4280 74 E 75xl,189.90,https://produto.mercadolivre.com.br/MLB-3077712213-cartucho-compativel-com-hp-photosmart-c4480-c4280-74-e-75xl-_JM?searchVariation=181886344431\#polycard_client=search-nordic&searchVariation=181886344431&position=45&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3
cartucho compatível hp,Cartucho Hp 667 667xl Deskjet 2776 Preto,119.90,https://www.mercadolivre.com.br/cartucho-hp-667-667xl-deskjet-2776-preto/p/MLB22843608\#polycard_client=search-nordic&searchVariation=MLB22843608&wid=MLB3905774637&position=31&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho de tinta magenta Hp 954xl,268,https://www.mercadolivre.com.br/cartucho-de-tinta-magenta-hp-954xl/p/MLB24127361\#polycard_client=search-nordic&searchVariation=MLB24127361&wid=MLB4716340490&position=25&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho Preto 711xl 711 Para Plotter T120 T520 711 80 Ml,65.76,https://www.mercadolivre.com.br/cartucho-preto-711xl-711-para-plotter-t120-t520-711-80-ml/p/MLB42608589\#polycard_client=search-nordic&searchVariation=MLB42608589&wid=MLB3898627541&position=27&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Cartucho Toner Hp 2612a Preto - Ct12a,51.90,https://www.mercadolivre.com.br/cartucho-toner-hp-2612a-preto-ct12a/p/MLB39336221\#polycard_client=search-nordic&searchVariation=MLB39336221&wid=MLB5308495276&position=26&search_layout=grid&type=product&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&sid=search
cartucho compatível hp,Kit Tinta 934xl E 935xl P/ Hp Office Pro 6230 6830 Em Oferta,121,https://produto.mercadolivre.com.br/MLB-2815364115-kit-tinta-934xl-e-935xl-p-hp-office-pro-6230-6830-em-oferta-_JM\#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=6f414190-d959-4b52-b175-698ab06c6ce3&wid=MLB2815364115&sid=search
